Departure Airport,Departure Time,Arrival Airport,Arrival Time,Carrier Code,Flight Number,Price (VND),Duration
SGN,2024-09-15 06:30:00,HUI,2024-09-15 07:55:00,VJ,300,1219000.0,PT1H25M
SGN,2024-09-15 07:45:00,HUI,2024-09-15 09:10:00,VJ,302,1219000.0,PT1H25M
SGN,2024-09-15 15:30:00,HUI,2024-09-15 16:55:00,VJ,306,1219000.0,PT1H25M
SGN,2024-09-15 18:35:00,HUI,2024-09-15 20:00:00,VJ,308,1219000.0,PT1H25M
SGN,2024-09-15 19:30:00,HUI,2024-09-15 20:55:00,VJ,310,1219000.0,PT1H25M
SGN,2024-09-15 21:10:00,HUI,2024-09-15 22:35:00,VJ,312,1219000.0,PT1H25M
SGN,2024-09-15 19:20:00,HUI,2024-09-15 20:50:00,QH,1102,1496000.0,PT1H30M
SGN,2024-09-15 15:30:00,HUI,2024-09-15 16:55:00,W2,4306,1733000.0,PT1H25M
SGN,2024-09-15 18:35:00,HUI,2024-09-15 20:00:00,W2,4308,1733000.0,PT1H25M
SGN,2024-09-15 21:10:00,HUI,2024-09-15 22:35:00,W2,4312,1733000.0,PT1H25M
SGN,2024-09-15 06:05:00,HUI,2024-09-15 07:35:00,VN,1370,1776000.0,PT1H30M
SGN,2024-09-15 19:10:00,HUI,2024-09-15 20:40:00,VN,1376,1776000.0,PT1H30M
SGN,2024-09-15 05:50:00,HUI,2024-09-15 07:20:00,VN,1368,2045000.0,PT1H30M
SGN,2024-09-15 11:25:00,HUI,2024-09-15 12:55:00,VN,1372,2045000.0,PT1H30M
SGN,2024-09-15 15:35:00,HUI,2024-09-15 17:05:00,VN,1374,2045000.0,PT1H30M
SGN,2024-09-15 06:30:00,HUI,2024-09-15 07:55:00,A1,2300,2376000.0,PT1H25M
SGN,2024-09-15 07:45:00,HUI,2024-09-15 09:10:00,A1,2302,2376000.0,PT1H25M
SGN,2024-09-15 19:30:00,HUI,2024-09-15 20:55:00,A1,2310,2376000.0,PT1H25M
SGN,2024-09-15 19:40:00,HUI,2024-09-15 21:05:00,VN,6160,2447000.0,PT1H25M
HAN,2024-09-15 11:40:00,HUI,2024-09-15 12:55:00,VJ,567,2640000.0,PT1H15M
HAN,2024-09-16 05:55:00,HUI,2024-09-16 07:10:00,VJ,565,2640000.0,PT1H15M
HAN,2024-09-15 11:40:00,HUI,2024-09-15 12:55:00,W2,4567,3640000.0,PT1H15M
HAN,2024-09-16 05:55:00,HUI,2024-09-16 07:10:00,W2,4565,3640000.0,PT1H15M
